Volební obvod;Kandidát.číslo;Kandidát.příjmení, jméno, tituly;Kandidát.věk;Volební strana;Navrhující strana;Politická příslušnost;Povolání;Bydliště;1. kolo.počet hlasů;1. kolo.%;2. kolo.počet hlasů;2. kolo.%
3;1;Sedláček Jiří Ing.​;64;Trikolora​;Trikolora​;BEZPP​;jednatel společnosti​;Tachov​;1613;5,64;0;0,00
3;2;Monsportová Markéta​;48;Piráti​;Piráti​;Piráti​;manažerka a kulturní aktivistka​;Velká Hleďsebe​;3960;13,85;0;0,00
3;3;Brožová Lampertová Jaroslava Ing.​;66;ANO​;ANO​;ANO​;starostka obce Velká Hleďsebe​;Velká Hleďsebe​;4927;17,24;3091;29,68
3;4;Švarcbek Josef RSDr.​;65;KSČM​;KSČM​;KSČM​;velitel výjezdové jednotky SDH Planá​;Planá​;2506;8,76;0;0,00
3;5;Plevný Miroslav​;54;STAN​;STAN​;BEZPP​;vysokoškolský učitel na Fakultě ekonomické ZČU​;Cheb​;7840;27,43;7323;70,31
3;6;Štěrbová Svatava Mgr.​;49;Zelení+SEN 21​;Zelení​;Zelení​;právnička a zastupitelka města Kladruby​;Kladruby​;1379;4,82;0;0,00
3;7;Lojda Martin​;65;PRO Zdraví​;PRO Zdraví​;KOLONÁDA​;realitní makléř​;Karlovy Vary​;119;0,41;0;0,00
3;8;Nenutil Miroslav Mgr.​;62;SOCDEM​;SOCDEM​;SOCDEM​;senátor​;Stříbro​;4142;14,49;0;0,00
3;9;Kvasnička Josef JUDr.​;70;SPD​;SPD​;BOS​;právník​;Plesná​;2090;7,31;0;0,00
6;1;Drápal Vladimír Mgr.​;56;ODS+TOP+KDU+KAN​;ODS​;BEZPP​;kurátor a produkční městské galerie, vydavatel​;Louny​;7884;20,63;7252;41,60
6;2;Pitek Daniel​;53;SEN 21​;SEN 21​;BEZPP​;sedlák a lesník​;Velemín​;3352;8,77;0;0,00
6;3;Hamousová Zdeňka Mgr.​;59;USZ​;USZ​;BEZPP​;starostka​;Žatec​;3910;10,23;0;0,00
6;4;Hanko Dominik Ing.​;41;SPD​;SPD​;SPD​;preventista městské policie, včelař, trenér atlet.​;Litoměřice​;2201;5,75;0;0,00
6;5;Beneš Václav​;67;KSČM​;KSČM​;KSČM​;starosta obce Blatno​;Blatno​;2462;6,44;0;0,00
6;6;Veselý Jaroslav Ing.​;64;UFO+ProMOST​;UFO​;BEZPP​;starosta obce Raná​;Raná​;1153;3,01;0;0,00
6;7;Pištora Zdeněk Mgr.​;56;Trikolora​;Trikolora​;Trikolora​;starosta města Postoloprty​;Postoloprty​;1590;4,16;0;0,00
6;8;Trešl Ivo MUDr.​;48;STAN​;STAN​;STAN​;lékař - chirurg​;Rakovník​;7995;20,92;10179;58,39
6;9;Rychtařík Milan Mgr. et. Bc.​;48;ANO​;ANO​;ANO​;místostarosta města Louny​;Louny​;7341;19,20;0;0,00
6;10;Domorák Rostislav Ing.​;59;S.cz​;S.cz​;BEZPP​;ředitel Oblastní charity Ústí nad Labem​;Budyně nad Ohří​;327;0,85;0;0,00
9;1;Sitta Jindřich MUDr.​;65;STAN​;STAN​;BEZPP​;chirurg, plukovník AČR, býv. velitel 6. pol. nem.​;Plzeň​;6175;16,40;0;0,00
9;2;Heřman Václav​;46;KSČM​;KSČM​;KSČM​;servisní technik​;Plzeň​;3034;8,06;0;0,00
9;3;Fencl Oldrich Ing.​;65;SPD​;SPD​;SPD​;geodet, geolog​;Plzeň​;3481;9,24;0;0,00
9;4;Kůs Daniel Mgr.​;46;Piráti​;Piráti​;Piráti​;zakl. internet. startupu, právník, plzeň. zastup.​;Plzeň​;8032;21,33;5773;40,66
9;5;Liška Jiří MUDr. CSc.​;76;SOCDEM​;SOCDEM​;SOCDEM​;zástup. primáře novorozeneckého odd. Mulačovy nem.​;Plzeň​;3766;10,00;0;0,00
9;6;Aschenbrenner Lumír Ing.​;60;ODSTOPKDUADSMon​;ODS​;ODS​;starosta Slovan, senátor PČR​;Plzeň​;13151;34,93;8425;59,33
12;1;Anděl Marek​;48;PÍSEK SOBĚ​;PÍSEK SOBĚ​;BEZPP​;ředitel muzea Elektrárny královského města Písku​;Písek​;1898;5,01;0;0,00
12;2;Štětina Pavel​;68;KSČM​;KSČM​;KSČM​;lesník​;Nová Pec​;1661;4,38;0;0,00
12;3;Kalina Petr Ing.​;48;ANO​;ANO​;ANO​;starosta obce​;Dobev​;5357;14,15;0;0,00
12;4;Horák Michal​;55;Piráti​;Piráti​;Piráti​;IT specialista​;Písek​;3410;9,01;0;0,00
12;5;Zelenková Ivana​;57;STAN​;STAN​;STAN​;starostka obce Čejetice​;Čejetice​;1664;4,39;0;0,00
12;6;Kurschová Petra Mgr.​;42;NK​;NK​;BEZPP​;oděvní návrhář​;Strakonice​;1314;3,47;0;0,00
12;7;Kratochvíle Karel Ing.​;62;SOCDEM​;SOCDEM​;SOCDEM​;ředitel Zemského hřebčince Písek, senátor P ČR​;Písek​;3395;8,97;0;0,00
12;8;Fiala Tomáš MUDr. Bc. MBA​;63;ODS​;ODS​;BEZPP​;lékař, ředitel nemocnice​;Strakonice​;10538;27,84;8238;50,13
12;9;Ušatý Miroslav Ing.​;54;Trikolora​;Trikolora​;BEZPP​;starosta​;Albrechtice nad Vltavou​;1432;3,78;0;0,00
12;10;Šobr Miroslav​;54;NK​;NK​;BEZPP​;úředník​;Volenice​;1494;3,94;0;0,00
12;11;Peterka Luboš Ing.​;55;KDU-ČSL​;KDU-ČSL​;BEZPP​;starosta​;Radomyšl​;5681;15,01;8193;49,86
15;1;Štěch Milan​;66;SOCDEM​;SOCDEM​;SOCDEM​;senátor​;Lišov​;11581;31,22;7649;47,56
15;2;Mrvka Stanislav Ing.​;67;Z 2020​;Z 2020​;Z 2020​;bývalý starosta J. Hradce a velitel záchr. útvaru​;Jindřichův Hradec​;7056;19,02;0;0,00
15;3;Jandák Vítězslav​;73;ANO​;ANO​;BEZPP​;člen Rady Českého rozhlasu, herec​;Chlum u Třeboně​;4486;12,09;0;0,00
15;4;Chalupský Jaroslav Ing.​;46;Svobodní​;Svobodní​;BEZPP​;manažer kvality, radní města, ekonom a podnikatel​;Jindřichův Hradec​;8731;23,54;8433;52,43
15;5;Pána Lubomír doc. PhDr. Mgr. Ph.D., dr. h. c.​;69;SPD​;SPD​;SPD​;emeritní rektor vysoké školy​;České Budějovice​;2561;6,90;0;0,00
15;6;Hodáč Pavel​;51;KSČM​;KSČM​;KSČM​;jednatel společnosti v oblasti strojírenské výroby​;Pelhřimov​;2673;7,20;0;0,00
18;1;Holobrada Stanislav MUDr.​;59;SOCDEM​;SOCDEM​;SOCDEM​;ředitel nemocnice​;Dobříš​;7083;16,13;0;0,00
18;2;Rosáková Jiřina PhDr.​;64;Zelení+SEN 21​;Zelení​;BEZPP​;scénáristka​;Mníšek pod Brdy​;1999;4,55;0;0,00
18;3;Luftová Simona Mgr.​;47;Piráti​;Piráti​;Piráti​;učitelka a projektová manažerka​;Příbram​;6763;15,41;0;0,00
18;4;Havelka Jindřich Mgr. DiS.​;46;KSČM​;KSČM​;KSČM​;řidič záchranář​;Trhové Dušníky​;3337;7,60;0;0,00
18;5;Novotný Jiří Bc.​;44;SPD​;SPD​;SPD​;odborný pracovník Úřadu práce ČR​;Příbram​;2770;6,31;0;0,00
18;6;Štěpánek Petr​;56;STAN​;STAN​;STAN​;starosta obce, dobrovolný hasič​;Petrovice​;9646;21,98;11372;70,18
18;7;Švenda Václav Mgr.​;46;TOP 09​;TOP 09​;TOP 09​;zástupce ředitele SŠ, podnikatel, zastupitel​;Příbram​;5178;11,79;0;0,00
18;8;Burian Jiří Ing.​;71;ODS​;ODS​;ODS​;senátor PČR​;Sedlčany​;7109;16,19;4831;29,81
21;1;Ludvík Miloslav JUDr. Ing. MBA​;57;SOCDEM+ANO​;SOCDEM​;SOCDEM​;ředitel Fakultní nemocnice v Motole​;Praha​;5425;13,49;0;0,00
21;2;Žantovský Michael Mgr.​;71;ODS+STAN+TOP 09​;TOP 09​;BEZPP​;diplomat, autor, politik, řed. Knihovny V. Havla​;Praha​;15929;39,63;12028;45,62
21;3;Kubín Jan Ing.​;56;CESTA​;CESTA​;CESTA​;podnikatel, místopředseda hnutí CESTA​;Praha​;365;0,90;0;0,00
21;4;Wünsche Milan​;63;SPD​;SPD​;SPD​;specialista v oboru umělé inteligence​;Praha​;1328;3,30;0;0,00
21;5;Maitah Mansoor prof. Ing. Ph.D. et Ph.D.​;58;Trikolora​;Trikolora​;Trikolora​;vysokoškolský pedagog​;Praha​;1408;3,50;0;0,00
21;6;Blaško Roman​;51;KSČM​;KSČM​;KSČ​;redaktor Haló novin, fotograf​;Luboměř​;686;1,70;0;0,00
21;7;Láska Václav Mgr.​;46;SEN 21​;SEN 21​;SEN 21​;advokát a senátor s podporou ČPS, KDU-ČSL, SZ​;Praha​;15047;37,44;14333;54,37
24;1;Smoljak Filip Bc.​;54;PRO Zdraví​;PRO Zdraví​;BEZPP​;sociální pracovník, ředitel soc.služby, filantrop​;Praha​;1249;3,59;0;0,00
24;2;Novák Vítězslav​;47;SPD​;SPD​;SPD​;živnostník​;Praha 8​;1526;4,39;0;0,00
24;3;Stehlík Eduard plk. gšt. v záloze PhDr. Ph.D., MBA​;55;KDU-ČSL+ODS​;ODS​;BEZPP​;vojenský historik, ředitel Památníku Lidice​;Praha 6​;10489;30,19;9164;45,14
24;4;Groene Odkolek Lucie Frederika​;50;DSZ-ZA PR.ZVÍŘ.​;DSZ-ZA PR.ZVÍŘ.​;BEZPP​;před.správní rady Nadační fond Odkolek,scénáristka​;Praha 9 - Vysočany​;508;1,46;0;0,00
24;5;Pavlíček Ladislav​;48;NáS​;NáS​;BEZPP​;řidič​;Kropáčova Vrutice​;150;0,43;0;0,00
